Mean,Filter Method,TL,AL,TML,AML,Actual_Mean
-2.0,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,-2.0
-1.5,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,-1.5
-1.0,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,-1.0
-0.5,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,-0.5
0.0,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,-1.2335811384723961e-17
0.5,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,0.5
1.0,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,1.0
1.5,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,1.5
2.0,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,2.0
2.5,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,2.5
3.0,down,496.5732737003486,3.4484255118079763,248.2866368501743,1.7242127559039881,3.0
